Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,CustomerName,City,State,Country,Continent,Product Name,Brand,Category,Subcategory,Unit Cost USD,Unit Price USD,Revenue_USD,Cost_USD,Profit_USD
366000,1,01-01-2016 00:00,26-02-2021 00:00,265598,10,1304,1,CAD,Male,Tyler Vaught,London,Ontario,Canada,North America,Contoso Lens Adapter M450 White,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,31.27,68,68,31.27,36.73
366001,1,01-01-2016 00:00,13-01-2016 00:00,1269051,0,1048,2,USD,Male,Frank Upchurch,Auberry,California,United States,North America,A. Datum SLR Camera X136 Silver,A. Datum,Cameras and camcorders,Digital SLR Cameras,141.47,427,854,282.94,571.06
366001,2,01-01-2016 00:00,13-01-2016 00:00,1269051,0,2007,1,USD,Male,Frank Upchurch,Auberry,California,United States,North America,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Home Appliances,Microwaves,220.64,665.94,665.94,220.64,445.3
366002,1,01-01-2016 00:00,26-02-2021 00:00,266019,0,1106,7,CAD,Female,Joan Roche,Red Deer,Alberta,Canada,North America,Contoso SLR Camera M146 Orange,Contoso,Cameras and camcorders,Digital SLR Cameras,148.08,322,2254,1036.56,1217.44
366002,2,01-01-2016 00:00,26-02-2021 00:00,266019,0,373,1,CAD,Female,Joan Roche,Red Deer,Alberta,Canada,North America,Adventure Works Laptop8.9 E0890 White,Adventure Works,Computers,Laptops,166.2,326,326,166.2,159.8
366002,3,01-01-2016 00:00,26-02-2021 00:00,266019,0,1080,4,CAD,Female,Joan Roche,Red Deer,Alberta,Canada,North America,Contoso SLR Camera X143 Silver,Contoso,Cameras and camcorders,Digital SLR Cameras,214.03,646,2584,856.12,1727.88
366004,1,01-01-2016 00:00,24-02-2021 00:00,1107461,38,163,6,GBP,Male,Sam Nelson,BURSCOUGH BRIDGE,West Lancashire,United Kingdom,Europe,"Adventure Works 52 LCD HDTV X790W White""",Adventure Works,TV and Video,Televisions,527.53,1592.2,9553.2,3165.18,6388.02
366004,2,01-01-2016 00:00,24-02-2021 00:00,1107461,38,1529,2,GBP,Male,Sam Nelson,BURSCOUGH BRIDGE,West Lancashire,United Kingdom,Europe,The Phone Company PDA Handheld 3.5 inch M610 Black,The Phone Company,Cell phones,Smart phones & PDAs,117.27,255,510,234.54,275.46
366005,1,01-01-2016 00:00,27-02-2021 00:00,844003,33,421,4,EUR,Male,Ouassim Heuver,Leeuwarden,Friesland,Netherlands,Europe,Adventure Works Desktop PC3.0 MS300 Silver,Adventure Works,Computers,Desktops,215.68,469,1876,862.72,1013.28
366007,1,01-01-2016 00:00,25-02-2021 00:00,2035771,43,1617,1,USD,Female,Damiana Corona,Winchester,Virginia,United States,North America,Contoso DVD Player M110 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,26.67,57.99,57.99,26.67,31.32
366007,2,01-01-2016 00:00,25-02-2021 00:00,2035771,43,666,5,USD,Female,Damiana Corona,Winchester,Virginia,United States,North America,Proseware Office Jet All-in-One Printer M500 Black,Proseware,Computers,"Printers, Scanners & Fax",74.96,163,815,374.8,440.2
366008,1,01-01-2016 00:00,27-02-2021 00:00,759705,29,1154,9,EUR,Male,Callisto Lo Duca,Casilli,Napoli,Italy,Europe,"Fabrikam Trendsetter 1/3 8.5mm X200 Blue""",Fabrikam,Cameras and camcorders,Camcorders,330.66,998,8982,2975.94,6006.06
366008,2,01-01-2016 00:00,27-02-2021 00:00,759705,29,2510,1,EUR,Male,Callisto Lo Duca,Casilli,Napoli,Italy,Europe,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,Cell phones,Cell phones Accessories,2.07,4.06,4.06,2.07,1.99
366008,3,01-01-2016 00:00,27-02-2021 00:00,759705,29,1060,5,EUR,Male,Callisto Lo Duca,Casilli,Napoli,Italy,Europe,A. Datum SLR Camera X139 Gold,A. Datum,Cameras and camcorders,Digital SLR Cameras,207.74,627,3135,1038.7,2096.3
366009,1,01-01-2016 00:00,26-02-2021 00:00,254540,9,1648,1,CAD,Female,Hazel Skiles,Peterborough,Ontario,Canada,North America,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,"Music, Movies and Audio Books",Movie DVD,56.08,109.99,109.99,56.08,53.91
366010,1,01-01-2016 00:00,26-02-2021 00:00,370077,0,618,5,CAD,Female,Carlota Etzel,Sainte-Gertrude,Quebec,Canada,North America,WWI Screen 113in M1610 Black,Wide World Importers,Computers,Projectors & Screens,99.06,299,1495,495.3,999.7
366011,1,01-01-2016 00:00,25-02-2021 00:00,1984985,66,128,7,USD,Male,Mike Mogensen,Chicago,Illinois,United States,North America,"Adventure Works 19 Color Digital TV E35 Brown""",Adventure Works,TV and Video,Televisions,73.11,143.4,1003.8,511.77,492.03
366011,2,01-01-2016 00:00,25-02-2021 00:00,1984985,66,1638,1,USD,Male,Mike Mogensen,Chicago,Illinois,United States,North America,Contoso DVD 58 DVD Storage Binder M55 Red,Contoso,"Music, Movies and Audio Books",Movie DVD,6.39,13.89,13.89,6.39,7.5
366011,3,01-01-2016 00:00,25-02-2021 00:00,1984985,66,1634,1,USD,Male,Mike Mogensen,Chicago,Illinois,United States,North America,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,5.09,9.99,9.99,5.09,4.9
366011,4,01-01-2016 00:00,25-02-2021 00:00,1984985,66,2392,3,USD,Male,Mike Mogensen,Chicago,Illinois,United States,North America,Proseware Air conditioner 10000BTU M490 Red,Proseware,Home Appliances,Air Conditioners,197.74,429.99,1289.97,593.22,696.75
366012,1,01-01-2016 00:00,25-02-2021 00:00,1977527,65,1807,1,USD,Female,Rebecca Koch,Austin,Texas,United States,North America,MGS Dungeon Siege 2009 E163,Tailspin Toys,Games and Toys,Download Games,16.31,32,32,16.31,15.69
366012,2,01-01-2016 00:00,25-02-2021 00:00,1977527,65,1594,4,USD,Female,Rebecca Koch,Austin,Texas,United States,North America,SV DVD 38 DVD Storage Binder E25 Red,Southridge Video,"Music, Movies and Audio Books",Movie DVD,5.09,9.99,39.96,20.36,19.6
366012,3,01-01-2016 00:00,25-02-2021 00:00,1977527,65,1297,1,USD,Female,Rebecca Koch,Austin,Texas,United States,North America,Contoso USB Cable M250 White,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,11.5,25,25,11.5,13.5
366013,1,01-01-2016 00:00,24-02-2021 00:00,1187306,41,1654,5,GBP,Male,Max Norris,DRUMWHINDLE,Aberdeenshire,United Kingdom,Europe,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,86.14,259.99,1299.95,430.7,869.25
366014,1,01-01-2016 00:00,27-02-2021 00:00,738549,0,123,1,EUR,Female,Clara Toscani,Pollone,Biella,Italy,Europe,"Adventure Works 19 Portable LCD HDTV M110 Black""",Adventure Works,TV and Video,Televisions,128.76,279.99,279.99,128.76,151.23
366014,2,01-01-2016 00:00,27-02-2021 00:00,738549,0,1700,2,EUR,Female,Clara Toscani,Pollone,Biella,Italy,Europe,SV Hand Games women M40 Red,Southridge Video,Games and Toys,Boxed Games,4.08,8.88,17.76,8.16,9.6
366016,1,01-01-2016 00:00,25-02-2021 00:00,1982762,63,1253,7,USD,Female,Asta Kruse,Madrid,New York,United States,North America,Contoso General Carrying Case E304 Silver,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,10.19,19.99,139.93,71.33,68.6
367000,1,02-01-2016 00:00,25-02-2021 00:00,1438050,56,1176,1,USD,Female,Angela Roeder,Champaign,Illinois,United States,North America,Fabrikam Trendsetter 1'' 25mm X400 White,Fabrikam,Cameras and camcorders,Camcorders,331.32,1000,1000,331.32,668.68
367003,1,02-01-2016 00:00,24-02-2021 00:00,980164,40,153,2,GBP,Female,Evie Gardiner,GRAVELEY,North Hertfordshire,United Kingdom,Europe,"Adventure Works 26 720p LCD HDTV M140 Silver""",Adventure Works,TV and Video,Televisions,216.12,469.97,939.94,432.24,507.7
367004,1,02-01-2016 00:00,25-02-2021 00:00,1853699,56,136,1,USD,Female,Young Hudson,Chandler,Oklahoma,United States,North America,"Adventure Works 20 LCD HDTV M120 Brown""",Adventure Works,TV and Video,Televisions,160.93,349.95,349.95,160.93,189.02
367004,2,02-01-2016 00:00,25-02-2021 00:00,1853699,56,1637,4,USD,Female,Young Hudson,Chandler,Oklahoma,United States,North America,Contoso DVD 48 DVD Storage Binder M50 Red,Contoso,"Music, Movies and Audio Books",Movie DVD,8.27,17.99,71.96,33.08,38.88
367005,1,02-01-2016 00:00,27-02-2021 00:00,758280,0,1691,1,EUR,Male,Adolfo Genovesi,Teglia,Genova,Italy,Europe,SV Hand Games for kids E30 Black,Southridge Video,Games and Toys,Boxed Games,2.75,5.39,5.39,2.75,2.64
367005,2,02-01-2016 00:00,27-02-2021 00:00,758280,0,319,2,EUR,Male,Adolfo Genovesi,Teglia,Genova,Italy,Europe,SV Car Video LCD9.2W X9281 Silver,Southridge Video,TV and Video,Car Video,287.92,869,1738,575.84,1162.16
